Fractured Lightning,S,4,,,"Cast: Deal 5 damage.#Reveal the top card of the nemesis deck. If it is an attack or power, overheat this card.#If this card is fully overheated, destroy it and the nemesis Unleashes.","""The mage, the breach, and the spell. Each can present a different limit. And each is at risk should you try to exceed them."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,38,43
Cascade,S,5,,,Cast: Deal 3 damage.#You may return a card that costs 4$ or less from your discard pile to your hand.,"""Trickle down from flame to ember."" - Lost",,Legacy of Gravehold (Gravehold),,43,48
Rainbow Surge,S,7,,,"Cast: Deal 5 damage. If this causes a minion to be discarded, boost this.#Gain 1 life for each boost mark on this.","""I think there's some colors in there I've never even seen before!"" - Kadir",,Legacy of Gravehold (Gravehold),,48,53
Quicksilver Bolt,S,5,,,"You may prep this spell to one of your opened breaches during any ally's main phase.#When you prep this during your main phase, boost this.#Cast: Deal 3 damage.#If this is fully boosted, it deals 1 additional damage.","""Gaining the advantage in a battle is all about speed."" - Gygar",,Legacy of Gravehold (Gravehold),,17,22
Volcanic Shrapnel,S,8,,,Cast: Deal 1 damage. Deal 1 damage. Deal 1 damage.#You may return to your hand up to two cards from your discard pile that cost 0$.#(Effects that modify damage affect all instances of damage this spell deals.),"""Power inside. Fire outside."" - Lost",,Legacy of Gravehold (Gravehold),,27,32
Flamequake,S,6,,Cast: Deal 5 damage.,A@ Recall: Lose 2 charges to remove a fire token from your location on the map.,"""The best kinds of friends are made of fire. Like Lost!"" - Claudia",,Legacy of Gravehold (Gravehold),,13,18
Crystal Carapace,S,6,,"When another card or effect would cause you to discard or destroy this, you may return this to your hand. If it was prepped, you may prep it. (Ignore this effect while this card is in the supply.)",Cast: Deal 4 damage.,"""Nature will be my shield."" - Inco",,Legacy of Gravehold (Gravehold),,13,18
Evaporating Ray,S,4,,,"Cast: Deal 3 damage.#Any ally may discard a card in hand that costs 2$ or more. If they do, this deals an additional 2 damage.","""What harms the nameless tend to harm humans as well. Precision remains essential."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,18,23
,,,,,,,,,,,
# Promos,,,,,,,,,,,
,,,,,,,,,,,
Drown in Flames,S,6,,,"Cast: Deal 4 damage to a minion or the nemesis. You may lose 2 charges. If you do, repeat this.#(Effects that modify damage affect each instance of damage this spell deals.)",,,Legacy (Kickstarter Exclusive),,6,10
Thieving Spirit,S,5,,,Cast: Deal 4 damage. Gain 1$.,,,Dice Tower,,18,22
Fleeting Vision,S,3,,,Cast: Deal 2 damage. Each player may reveal the top two cards of their deck and may discard any of those cards.,,,Legacy (Kickstarter Exclusive),,30,34
Splinter Missile,S,5,,,"Cast: Deal 4 damage. Any ally may discard a card in hand. If they do, divide this damage however you choose among the nemesis and any number of minions.","It takes great skill to fight in tandem with your allies, but to use this spell effectively, you must.",,Legacy (Kickstarter Exclusive),,36,40
Echo Stone,G,4,,,"Gain 2$. If you have played another Echo Stone this turn, gain an additional 1$.",Kadir never said how she learned this stone resonated with itself.,,Legacy (Kickstarter Exclusive),,42,48
,,,,,,,,,,,
Fractured Quartz,G,4,,,"Gain 2$. You may destroy two cards in this card's supply pile. If you do, gain an additional 1$.","""Many push their magic to the breaking point. Some push their gems to the same."" - Lexive, Arcane Theorist",,The New Age (Kickstarter Exclusive),,58,64
Rock Launcher,R,3,,,"Discard or destroy a card in hand. If you do, deal damage equal to its cost.","""Put it here. Gems are useful for more than just aether."" - Rhia",,The New Age (Kickstarter Exclusive),,65,69
Abacus of Ignition,R,4,,,You may cast any ally's prepped spell. Any ally draws a card.,"""Yes, I know it's a strange device. No, I don't want something else. Just watch."" - Soskel",,The New Age (Kickstarter Exclusive),,70,74
Illuminating Flame,S,6,,,"Cast: Deal 5 damage. If this was cast from an opened III or IV breach, you may destroy this. If you do, gain 3 charges.","""Hello friends. Welcome to your lesson."" - Claudia",,The New Age (Kickstarter Exclusive),,75,79
Chronal Arc,S,7,,!Dual,Cast: Deal 4 damage. You may place this card into your hand.,"""The potential of one single spell is infinite, provided the mage is wise enough to unlock it."" - Lexive, Arcane Theorist",,The New Age (Kickstarter Exclusive),,80,84
,,,,,,,,,,,
Coruscating Sapal,G,4,,,"Gain 2$. You may lose 1 charge. If you do, gain an additional 2$.",,,Outcasts (Kickstarter Exclusive),,90,96
Force Catalyst,S,4,,"While prepped, during you may phase, you may spend 3$ to cast any player's prepped spell.",Cast: Deal 3 damage.,,,Outcasts (Kickstarter Exclusive),,97,101
Humming Shell,R,7,,,Destroy up to two cards in hand or discard pile.#OR#Gain 2 charges.,,,Outcasts (Kickstarter Exclusive),,102,106
,,,,,,,,,,,
# Curses,,,,,,,,,,,
,,,,,,,,,,,
Cursed Shard,G,0,;T=Curse,,Gain 1$. Place this on top of your deck.#OR#Spend 2$ to destroy this.,Starts the game in the Curse deck.,,Outcasts,1c,33,36
Cursed Manacles,R,0,;T=Curse,,Gain 1 charges. Suffer 1 damage.#OR#Discard two prepped spells to destroy this.,Starts the game in the Curse deck.,,Outcasts,1c,38,39
Cursed Bolt,S,0,;T=Curse,,"Cast: Deal 1 damage. Place this on top of your deck.#OR#Cast: Deal 1 damage. Discard two cards in hand. If you do, destroy this.",Starts the game in the Curse deck.,,Outcasts,1c,40,42
,,,,,,,,,,,
# Special unique cards,,,,,,,,,,,
,,,,,,,,,,,
Forged Crystal,G,0,A=2;U=Lost,Use this card only when playing with Lost.,Gain 2$.,"""Refined in the flames."" - Lost",Lost,The New Age,END,9,13
Forged Spark,S,0,D=2;U=Lost,Use this card only when playing with Lost.,Cast: Deal 2 damage.,"""Fire within fire."" - Lost",Lost,The New Age,END,14,17
Rose Thorn,S,2,;U=Inco,Use this card only when playing with Inco.,Cast: Deal 2 damage. You may return this to the Rose Thorn deck.,"""One thorn is only a prick, but a field of thorns will be your end."" - Inco",Razra,Into the Wild,,6,15
"Rip, Fetch!",R,3,;U=Razra,Use this card only when playing with Razra.,Focus your closed breach with the lowest focus cost. You may destroy a card in hand.,"""Help me focus. I need to clear my thoughts."" - Razra",Razra,Into the Wild,,34,35
"Rip, Go!",R,3,;U=Razra,Use this card only when playing with Razra.,Focus any ally's breach. That ally gains 1 charge.,"""That mage needs our help. C'mon!"" - Razra",Razra,Into the Wild,,36,37
"Rip, Attack!",R,6,;U=Razra,Use this card only when playing with Razra.,Any ally may prep a spell in hand. Cast up to two spells prepped by any player. Spells cast this way deal 1 additional damage.,"""Don't hold back now!"" - Razra",Razra,Into the Wild,,38,39
"Rip, Eat!",R,6,;U=Razra,Use this card only when playing with Razra.,Any ally gains 2 charges and may destroy a card in hand.,"""Rip has the unusual property of turning matter or thoughts into pure energy. Fascinating."" - Mazra",,Into the Wild,,40,41
Mazra's Wisdom,S,3,;U=Mazra,Use this card only when playing with Mazra.,Cast: Deal 2 damage. Any ally draws a card.,"""You could learn something from me."" - Mazra",Mazra,The Ancients,Mazra,3,4
Mazra's Arc,S,3,;U=Mazra,Use this card only when playing with Mazra.,Cast: Deal 3 damage. Focus your closed breach with the lowest focus cost.,"""The ancients knew two things well. Lightning is one of them."" - Mazra",Mazra,The Ancients,,5,6
Mazra's Inferno,S,6,;U=Mazra,Use this card only when playing with Mazra.,Cast: Deal 6 damage.#OR#Cast: Deal 4 damage. Destroy a card in hand.,"""And fire is the other. Stay down."" - Mazra",Mazra,The Ancients,,7,8
Mazra's Gift,S,6,;U=Mazra,Use this card only when playing with Mazra.,Cast: Deal 4 damage. Any ally gains 1 charge.#OR#Cast: Deal 4 damage. Any ally gains 1 life.,"""For me? Aw, thanks Maz!"" - Razra",Mazra,The Ancients,,9,10
Invention: Cosmic Locus,S,7,,,Echo#Cast: Deal 2 damage.#Malastar focuses a breach.,"""Inventing new spells is tricky business, but once you understand the conservation of aether, options open up."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,42,0
Invention: Demiurge Diamond,G,7,,,Gain 4$.#Malastar may gain a card that costs 4$ or less from the supply.,"""I wanted to name this one after Kadir, but she called it unbearably saccharine."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,43,0
Invention: Galactoscope,R,7,,,"Attach this to any player's breach.#When a spell is cast from this breach, the player who cast that spell gains 1 charge, and Malastar gains 1 charge.","""Some breakthroughs just lead to new breakthroughs.  That's the beauty of engineering!"" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,44,0
Invention: Guiding Facet,G,7,,,Gain 5$.#Malastar may return a card that costs 3$ or less from his discard pile to his hand.,"""I think Kadir would kill me if I said my synthetic gem was better than any that exist in the natural world, so I'm definitely not saying that. At all."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,45,0
Invention: Maker's Mitt,R,7,,,Gain 1 charge or destroy a card in hand or discard pile. Repeat this twice.#Malastar gains an$ token.,"""Half of an inventor's work is to cut away the unnecessary excess."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,46,0
Invention: Meteor Strike,S,7,,,"Cast: Deal 6 damage.#Malastar may draw two cards. If he does, he discards two cards.","""I saw a shooting star once, and thought to myself: that doesn't look so hard."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,47,0
Invention: Quantoid,R,7,,,"Any ally draws three cards. Then, they discard a card in hand.#Malastar draws a card.","""The trick to this one is, well, it's too complicated to explain. The important thing is that it works!"" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,48,0
Invention: Solar Loop,S,7,,,"While prepped, at the start of your casting phase you may reveal the top card of your deck. You may destroy the revealed card.#Cast: Deal 5 damage. Malastar may destroy a card in hand or discard pile.","""Claudia inspired this one! What a bright girl, both literally and figuratively. How often she's on fire is concerning as a parent."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,49,0
Mazra's Arc,S,3,,,Cast: Deal 3 damage.#Focus your closed breach with the lowest focus cost.,"""The ancients knew two things well. Lightning is one of them."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,6,7
Mazra's Teachings,S,3,,,Cast: Deal 3 damage.#Silence a minion.,"""I've learned a few new tricks, and now I can teach them to you."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,8,9
Mazra's Wisdom,S,3,,,Cast: Deal 2 damage. Any ally draws a card.,"""You could learn something from me."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,10,11
Mazra's Chain,S,6,,,Cast: Deal 5 damage divided however you choose to the nemesis and any number of minions.#OR#Cast: Deal 1 damage. You may cast any ally's prepped spell without discarding it.,"""The mark of a true elder mage is precision and conservation of force."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,12,13
Mazra's Gift,S,6,,,Cast: Deal 4 damage. Any ally gains 1 charge.#OR#Cast: Deal 4 damage. Any ally gains 1 life.,"""For me? Aw, thanks Maz!"" - Razra",Mazra,Legacy of Gravehold (Gravehold),,14,15
Mazra's Inferno,S,6,,,Cast: Deal 6 damage.#OR#Cast: Deal 4 damage. Destroy a card in hand.,"""And fire is the other. Stay down."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,16,17
Mazra's Decimation,S,9,,,Cast: Deal 5 damage to the nemesis.#Deal 5 damage to a minion.,"""They will learn to fear us through overwhelming force."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,18,0
Mazra's Revivification,S,9,,,Cast: Deal 4 damage.#Any ally gains 2 life and may draw a card.,"""We must not forget that our own survival is a victory within itself."" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,19,0
"Rip, Fetch!",R,3,,,Focus your closed breach with the lowest focus cost.#You may destroy a card in hand.,"""Help me focus. I need to clear my thoughts."" - Razra",Razra,Legacy of Gravehold (Azer),,4,5
"Rip, Go!",R,3,,,Focus any ally's breach. That ally gains 1 charge.,"""That mage needs our help. C'mon!"" - Razra",Razra,Legacy of Gravehold (Azer),,6,7
"Rip, Protect!",R,6,,,Any ally draws two cards.#Silence a minion.,"""Who's a good boy?"" - Razra",Razra,Legacy of Gravehold (Azer),,8,9
"Rip, Scout!",R,3,,,Gain a card that costs 4$ or less from the supply and place it on top of your deck.,"""Is it a bird? A plant? Oh no, it's just another rock. Thank you, Rip, I love it."" - Razra",Razra,Legacy of Gravehold (Azer),,10,11
"Rip, Attack!",R,6,,,Any ally may prep a spell in hand.#tiny  Cast up to two spells prepped by any player. Spells cast this way deal 1 additional damage.,"""Don't hold back now!"" - Razra",Razra,Legacy of Gravehold (Azer),,12,13
"Rip, Eat!",R,6,,,Any ally gains 2 charges and may destroy a card in hand.,"""Rip has the unusual property of turning matter or thoughts into pure energy. Fascinating."" -Mazra",Razra,Legacy of Gravehold (Azer),,14,15
"Rip, Guard!",R,9,,,Gain 2 life. Allies collectively gain 3 charges.#OR#Suffer 2 damage. Place a power from the nemesis deck that is in play into the nemesis discard pile.,"""Not on my watch!"" - Razra",Razra,Legacy of Gravehold (Azer),,16,0
"Rip, Patrol!",R,9,,,Gain a spell from the supply and place it into your hand.#Discard a fire token from your location on the map.,"""No holding back now. Let's finish this!"" - Razra",Razra,Legacy of Gravehold (Azer),,17,0
Dead Reckoning,S,8,,,Echo#Cast: Deal 4 damage.,"""When I was banished into the Void, it was as though the man I was died and a new Xaxos was forged in that grisly world."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,6,0
Elemental Reckoning,S,8,,,Cast: Deal 3 damage.#Any player or Gravehold gains 3 life.,"""Everything I have ever learned shall be brought to bear in this, the most important fight of my life."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,7,0
Cosmic Reckoning,S,8,,,"Cast: If this is the first spell you cast this turn, any ally draws four cards and preps any number of spells in hand to their opened or closed breaches.","""To see our world and the Void as separate is foolish. My daughter is proof that they entangle."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,8,0
Brutal Reckoning,S,8,,,Cast: Deal 8 damage divided however you choose among any number of minions.#OR#Cast: Deal 10 damage to the nemesis.,"""The time for hesitation has passed."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,9,0
Final Reckoning,S,8,,,Cast: Deal 4 damage.#Reveal the top three cards of your deck. You may destroy any of those cards.,"""This is the culmination of my fate."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,10,0
Nocturnal Reckoning,S,8,,,Cast: Allies collectively gain 4 charges. Reveal the turn order deck. Return it in any order.#OR#Cast: Deal 8 damage.,"""I cannot rest while there are others who are suffering as I have suffered."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,11,0
,,,,,,,,,,,
# Starter cards,,,,,,,,,,,
,,,,,,,,,,,
Amethyst Shard,G,0,,,Gain 1$. Any ally may draw a card and then discard a card in hand.,"There is an irony to the weaponsmith that is best described as ""blunt"".",Adelheim,Aeon's End,,1,0
Buried Light,S,0,,,Cast: Deal 1 damage. Gain 1$.,"Hers is a fire that burns bright and with a single purpose: to deliver us back to The World That Was, no matter what cost.",Brama,Aeon's End,,2,0
Emerald Shard,G,0,,,Gain 1$.#OR#Any player gains 1 life.,"The caves run deep in Gravehold, ssome say to a shadow city even older than time. Yet none have delved as deep as Kadir.",Kadir,Aeon's End,,3,0
Flare,S,0,,,"Cast: Reveal the top card of the turn order deck, and then place it back on top of the turn order deck. If you revealed a player turn order card, deal 3 damage. Otherwise, deal 1 damage.","The other mages do not fully trust Xaxos, for there is a darkness they perceive in his words.",Xaxos,Aeon's End,,4,0
Garnet Shard,G,0,,,Gain 1$.#OR#Cast any player's prepped spell.,"Thrice has she walked into the breach to face them, a feat not yet attempted by other mages.",Mist,Aeon's End,,5,0
Moonstone Shard,G,0,,,Gain 1$. Gain an additional 1$ that can only be used to gain a gem.,"Like many children of Gravehold, Jian was left an orphan, stricken silent by the very thing that took her father's light.",Jian,Aeon's End,,6,0
Quartz Shard,G,0,,,"Gain 1$. Reveal the top card of the turn order deck. You may place that card on the bottom or the top of the turn order deck. If you revealed a player turn order card, gain an additional 1$.","Laughter is scarce these days in Gravehold, yet Lash manages to conjure a smile in most he meets.",Lash,Aeon's End,,7,0
Tourmaline Shard,G,0,,,"Gain 1$. Any ally may suffer 1 damage. If they do, they destroy a card in hand.",Phaedraxa is burdened with a sense beyond sight. Only she remembers The World That Was.,Phaedraxa,Aeon's End,,8,0
Cinder,S,0,,,Cast: Deal 1 damage.#OR#Cast: Gain 2$.,"Nym is Malastar's most gifted and reckless apprentice. Brama has said it is as if the boy were born without a sense of fear, but perhaps fear is a virtue we need to learn.",Nym,The Depths,,1,0
Eternal Ember,S,0,"D=1/B,$=C,&=W,&=C",,Cast: Deal 1 damage.#OR#Cast: Cast one of your prepped spells without discarding it.,"There is an anger within her that makes her dangerous, unpredictable. If not for Brama's constant intercession, likely she would have met the gallows long ago.",Z'hana,The Depths,,2,0
Obsidian Shard,G,0,,,"Gain 1$. You may suffer 1 damage. If you do, gain an additional 2$.","They say she doesn't sleep. She just sharpens that blade of hers patiently, eager for a breach to bring her worthy foes.",Reeve,The Depths,,3,0
Immolate,S,0,,"While prepped, when you suffer 1 damage, gain 1 charge.",Cast: Deal 1 damage.,His charge is two-fold: to guide his former students as needed and to train the younglings that will fight for Gravehold when the others fall.,Malastar,The Nameless,,1,0
,,,,,,,,,,,
Amethyst Paragon,G,0,,,"Gain 1$. Any ally may prep a spell in hand to their opened or closed breach(es).#Rule clarification: The closed breach(es), if applicable, do not need to have been focused this turn.","""No other mage has entered the breach as many times as I. But this last time, something came back with me."" - Mist, Voidwalker",Mist,War Eternal,,1,0
Coal Shard,G,0,,,"If you have 2 life or less, destroy this. Otherwise, gain 3$, gain 1 charge, and suffer 2 damage.","""Afraid of my own shadow? Of course!"" - Ohat, Dirt Merchant",Ulgimor,War Eternal,,2,0
Extinguish,S,0,,,"Cast: Deal 1 damage. If this damage causes a minion from the nemesis deck to be discarded, Quilius gains a Trophy token.","""There is a fire in all things. The others call it forth. But I, I snuff it out."" - Quilius, Breach Mage Assassin",Quilius,War Eternal,,3,4
Illuminate,S,0,,"While prepped, when you focus or open one of your breaches during your turn, deal 1 damage.",Cast: Deal 1 damage.,"""My time in the void has taught me one thing worth knowing: all paths require light to traverse."" - Yan Magda, Enlightened Exile",Yan Magda,War Eternal,,5,0
Oblivion Shard,G,0,,,Gain 2$ that cannot be used to gain a relic or spell.,"""It's best not to think of her as just a youngling. She is that, yes, but also something more."" - Yan Magda, Enlightened Exile",Dezmodia,War Eternal,,6,0
Shattered Geode,G,0,,,Gain 1$. You may place the top card of any ally's discard pile into your hand.,"""In training, Malastar gathered us to select our gems. I chose this rock, knowing well what was hidden within."" - Gex, Breach Mage Advisor",Gex,War Eternal,,7,0
Torch,S,0,,,Cast: Deal 1 damage.#OR#Cast: Focus any player's breach.,"""Ours is a light that will never go out."" - Garu, Oathsworn Protector",Garu,War Eternal,,8,0
Worldheart Shard,G,0,,,Gain 1$.#OR#Gain 2$ that can only be used to gain a card. Place the next card you gain this turn on top of any ally's discard pile.,"""Listen, youngling. The cave, it murmurs the words of all mothers. We are not lost here. We live upon the very heart of this world."" - Mazahaedron, Henge Mystic",Mazahaedron,War Eternal,,9,0
Pyre,S,0,,,"Cast: Deal 1 damage. Any ally may discard a card in hand. If they do, deal 2 additional damage.","""I shall light a fire on our last day in this world. And as I step into the void, I shall turn and watch the flame expire."" - Xaxos, Voidbringer",Xaxos,The Void,,1,0
Smolder,S,0,,This spell may be prepped to a closed breach without focusing it.,Cast: Deal 1 damage.,"Sparrow is not her true name, but rather a youngling jest, for once she was a frail and timid thing.",Sparrow,The Void,,2,0
Twin Opal,G,0,,,Gain 1$. You may cast a spell in hand.,"""To become a breach mage, one must survive their ordeal alone. Brama says there is no other way."" - Indira, Breach Apprentice",Indira,The Outer Dark,,1,2
Void Shard,G,0,,,Gain 1$. Gain an additional 1$ that can only be used to focus or open a breach.,"""I do not know what it is or how it came into my possession, only that, like myself, it is drawn to the void."" - Remnant, Aethereal Entity",Remnant,The Outer Dark,,3,0
,,,,,,,,,,,
Sparkling Meteorite,G,0,,,Gain 1$.#OR#Gain 3$ that can only be used to focus or open a breach.,"""I took up my father's power to keep Gravehold safe."" - Sahala",Sahala,The New Age,1b,5,0
Tidal Surge,S,0,"C=1,&=C,$=C",,Cast: Gain 1 charge.,"""This is nothing. There's greater power still hiding in the depths."" - Gygar",Gygar,The New Age,1b,15,20
Gift Of Spirit,S,0,"D=1/J=1,$=B,&=C",,Cast: Deal 1 damage.#OR#Cast: Any ally draws a card.,"""Breathe it in, let it invigorate you."" - Taqren",Taqren,The New Age,1b,26,0
Aetherscope,G,0,,,"Gain 1$.#OR#Any ally may lose 1 charge. If they do, gain 2 charges.","""The greatest power rests in the smallest detail."" - Claudia",Claudia,The New Age,1b,36,0
Planar Pocket,G,0,,,Gain 1$. Gain an additional 2$ that can only be used to gain a relic.,"""I left it in here somewhere..."" - Rhia",Rhia,The New Age,1d,7,0
Lucky Coin,G,0,,,"Gain 1$. You may lose 1 charge. If you do, gain 2 additional $.","""One flip of the coin returns a charge to aether."" - Soskel",Soskel,The New Age,2b,6,0
Furnacium,R,0,,,Gain 1$. Discard up to three spells in hand. Gain 1$ for each spell discarded this way. You may place this on top of your deck.,"""How does he not burn? I can't even get near it and he holds it in his hand."" - Inco",Talix,The New Age,3b,8,9
Heart Forge,G,0,,,Gain 1$.#OR#Destroy a Spark or Crystal in hand. Gain a card of the same type from the Forged deck and place it into your hand.,"""He forges with his hands, his heart, and his body."" - Soskel",Lost,The New Age,END,2,0
Mazra's Studies,S,0,,,Cast: Deal 1 damage.#OR#Cast: Focus your III breach.,"""Take care of that for me, would you?"" - Mazra",Mazra,The Ancients,,1,2
Change Form,R,0,,,Qu flips over the Form token.,"""Let the Void take me."" - Qu",Qu,The Ancients,,11,0
Melded Radite,G,0,,,Gain 0$. You may cast any player's prepped spell.,"""So much time in the Void twisted this gem, rendering it useless for most people."" - Qu",Qu,The Ancients,,12,0
Mystic Orb,R,0,,,"Gain 1 charge. Cast a spell in your hand. Return that spell to its supply pile, if able. You may lose 1 charge to gain a spell from any supply pile that costs less than the cast spell.","""It gets harder and harder to tell this story in the proper order. Give me a second to clear my thoughts."" - Nook (SD-001)#""Give me a second to clear my thoughts. It gets harder and harder to tell this story in the proper order."" - Nook (SD-002)",Nook,Shattered Dreams,,1,2
Verdant Emerald,G,0,,,Gain 1$.#OR#Gain a Rose Thorn from the Rose Thorn deck. Place that card on top of any player's discard pile.,"""Sprout, my tangle of thorns. Together, we shall protect our new home."" - Inco",Inco,Into the Wild,,4,5
"Rip, Help!",R,0,"C=1,$=C",,Gain 1 charge.,"""Good boy. I can use this nicely."" - Razra",Razra,Into the Wild,,32,33
,,,,,,,,,,,
Entwined Amethyst,G,0,,,"Gain 1$. When you discard this during an ally's turn, you gain 1 charge.","""As it is in love, so it is in magic."" - Ilya",Ilya,Outcasts,1b,4,9
Trulite Of Force,G,0,,,"Gain 1$. Any ally may discard a card in hand. If they do, gain 1$ that can only be used to gain a spell or to focus or open a breach.","""True power comes when we stand together."" - Ilya",Ilya,Outcasts,1b,5,11
Entwined Amethyst,G,0,,,"Gain 1$. When you discard this during an ally's turn, you gain 1 charge.","""As it is in magic, so it is in love."" - Kel",Kel,Outcasts,1b,14,19
Trulite Of Energy,G,0,,,"Gain 1$. Any ally may discard a card in hand. If they do, gain 1$ that can only be used to gain a gem or relic.","""Without the people we love, we are nothing."" - Kel",Kel,Outcasts,1b,15,21
Esoteric Amplifier,G,0,,,Gain 1$. You may suffer 1 damage.,"""I have learned to mine the power of my own life force."" - Taqren",Taqren,Outcasts,1b,25,0
Glyph Carver,G,0,,,Gain 1$.#OR#Place 1 glyph token on top of any card in the supply.,"""The techniques of Azer are intricate. I have only just begun to scratch the surface."" - Z'hana",Z'hana,Outcasts,1b,36,40
Call Of The Void,S,0,,"While prepped, the first time you play a gem or relic that costs 1$ or more each turn, play that card twice and then return it to the supply.",Cast: Deal 1 damage.,"""It's been so long since I came back here. I'd forgotten how powerful the Void truly is."" - Qu",Qu,Outcasts,2b,29,0
Nameless Siphon,G,0,,,"Gain 1$.#OR#Any ally may discard a card in hand. If they do, focus one of your breaches.","""I am still...monstrous. I only know how to take."" - Thraxir",Thraxir,Outcasts,3b,27,0
Swirling Darkness,S,0,,This may be prepped to closed breaches.,Cast: Focus the breach this was cast from.,"""Use the energy of a breach to open a breach. Pure contradiction. Just like me."" - Dezmodia",Dezmodia,Outcasts,END,56,0
Convergence,S,0,,"While prepped, when you play a gem or relic that costs 3$ or more, gain 1 charge. Arachnos may not give this charge to Xaxos: Outcast.",Cast: Deal 1 damage.,"""It's always been my talent to see potential in the ordinary."" - Arachnos",Arachnos,Outcasts,END,57,0
Invigorate,S,0,,,Cast: Deal 1 damage.#OR#Cast: Return a spell in your discard pile to your hand.,"""Let's give some life to these old stones!"" - Cairna",Cairna,Return to Gravehold,,16,0
Shower Of Coals,S,0,,,Ohat Mode: Cast: Suffer 1 damage and gain 2$.#Ulgimor Mode: Cast: Deal 3 damage.,"""At least now when people call me two-faced I'll know what they mean."" - Ohat",Ohat and Ulgimor,Return to Gravehold,,17,0
Sun Shard,G,0,,,Gain 1$.#OR#Gain 3$ that can only be used to open a breach.,"""Maintaining these breaches on my own requires an intense amount of concentration. Please, be quiet, and let me focus."" - Lucien",Lucien,Southern Village,,55,0
Fossilized Rose,S,0,,,"Cast: Discard a card in hand. If you do, gain a spell that costs 5$ or less from any supply pile.#OR#Cast: Deal 1 damage.","""This rose is a reminder of someone I'd rather forget. If it wasn't so useful, I'd have left it behind years ago."" - Reth",Reth,Southern Village,,56,0
Shared Heart,S,0,,,"Cast: Deal 1 damage. If you are Ilya, deal 1 additional damage.#OR#Cast: Deal 1 damage. If you are Kel, gain 1 life.","""We find the purest aether in the people we are connected to."" - Ilya",Ilya,Legacy of Gravehold (Azer),,6,0
Entangled Tourmaline,G,0,,,"Gain 1$.#You may place a card from your hand into Kel's or Ilya's hand. If you do, they place a card from their hand into your hand.","""There was an ancient tradition of exchanging gems as a show of devotion. Like saying, I love you so take this and be safe."" - Kel",Ilya,Legacy of Gravehold (Azer),,9,0
Entangled Tourmaline,G,0,,,"Gain 1$.#You may place a card from your hand into Kel's or Ilya's hand. If you do, they place a card from their hand into your hand.","""We are connected by so much more than just the power we share."" - Ilya",Kel,Legacy of Gravehold (Azer),,14,0
Split Soul,S,0,,,"Cast: Deal 1 damage. If you are Kel, gain 1$.#OR#Cast: If you are Ilya, gain 1 charge.","""It's impossible to separate out one magic from another. And I would not wish to."" - Kel",Kel,Legacy of Gravehold (Azer),,15,0
Oblivion Lode,G,0,,,"Resolve the builder token. Then, flip it over.","""Brought this back from our most recent Void trip. It's like seeing myself in stone."" - Qu",Qu,Legacy of Gravehold (Azer),,25,0
Corrupted Vein,G,0,,,"Resolve the destroyer token. Then, flip it over.","""The more time I spend in the Void, the more the corruption spreads."" - Qu",Qu,Legacy of Gravehold (Azer),,31,0
Warding Stone,G,0,,,"Gain 1$.#The next time you focus or open a breach this turn, gain an additional 2$.","""My mother tells me that sometimes the greatest defense is being prepared for the offensive."" - Taqren",Taqren,Legacy of Gravehold (Azer),,35,0
Bide,S,0,,"While prepped, once per turn during your main phase you may gain 1$.",Cast: Deal 1 damage.,"""Proper archaeology can't be rushed."" - Gygar",Gygar,Legacy of Gravehold (Gravehold),,5,0
Ancient Emerald,G,0,,,"Gain 1$.#If you have 4 or more charges, any ally gains 1 life.","""I've had this old thing so long, I'm amazed it still has aether to give."" - Kadir",Kadir,Legacy of Gravehold (Gravehold),,15,0
Molten Forge,S,0,,,Cast: Deal 1 damage.#OR#Cast: Gain 2$ that can only be used to gain spells.,"""Who knows how connecting with the person he was has impacted Lost's magic?"" - Gygar",Lost,Legacy of Gravehold (Gravehold),,25,0
Bronze Ingot,G,0,,,"Gain 1$.#If you have five or more spells in your discard pile, gain an additional 2$.","""Precious. Old. Powerful."" - Lost",Lost,Legacy of Gravehold (Gravehold),,29,0
